Identifier Recorder initialized, 2018-04-03#06.43.38PM
        
        
    original_test50.xml    SCRUBBING FILE:
    REGEX:DATE4    ">11/01</
    REGEX:DATE4    ">06/10</
    REGEX:DATE4    ">06/15</
    REGEX:DATE4    ">01/30</
    REGEX:DATE4    ">02/03</
    REGEX:DATE4    ">01/30</
    REGEX:DATE4    ">02/06</
    REGEX:DATE4    ">05/13</
    REGEX:DATE4    ">04/11</
    REGEX:DATE4    ">08/03</
    REGEX:DATE4    ">06/15</
    REGEX:DATE4    ">03/06</
    REGEX:DATE4    ">04/29</
    REGEX:DATE4    ">05/28</
    REGEX:DATE4    ">10/05</
    REGEX:DATE4    ">06/03</
    REGEX:DATE4    ">06/06</
    REGEX:DATE4    ">10/08</
    REGEX:DATE4    ">10/17</
    REGEX:DATE4    ">10/18</
    REGEX:DATE4    ">04/21</
    REGEX:DATE4    ">04/21</
    REGEX:DATE4    ">04/29</
    REGEX:DATE4    ">04/29</
    REGEX:DATE4    ">02/23</
    REGEX:DATE4    ">02/28</
    REGEX:DATE4    ">12/22</
    REGEX:DATE4    ">12/22</
    REGEX:DATE4    ">12/22</
    REGEX:DATE4    ">12/15</
    REGEX:DATE4    ">12/17</
    REGEX:DATE4    ">12/16</
    REGEX:DATE4    ">12/22</
    REGEX:DATE4    ">12/23</
    REGEX:DATE4    ">12/26</
    REGEX:DATE4    ">07/15</
    REGEX:DATE4    ">08/08</
    REGEX:DATE4    ">08/22</
    REGEX:DATE4    ">04/25</
    REGEX:DATE4    ">04/27</
    REGEX:DATE4    ">05/05</
    REGEX:DATE4    ">05/03</
    REGEX:DATE4    ">07/01</
    REGEX:DATE4    ">01/19</
    REGEX:DATE4    ">01/20</
    REGEX:DATE4    ">06/07</
    REGEX:DATE4    ">12/26</
    REGEX:DATE4    ">06/07</
    REGEX:DATE4    ">06/24</
    REGEX:DATE4    ">07/01</
    REGEX:DATE4    ">07/02</
    REGEX:DATE4    ">07/19</
    REGEX:DATE4    ">05/08</
    REGEX:DATE4    ">05/08</
    REGEX:DATE4    ">12/10</
    REGEX:DATE4    ">12/13</
    REGEX:DATE4    ">12/10</
    REGEX:DATE4    ">12/12</
    REGEX:DATE4    ">12/13</
    REGEX:DATE4    ">10/05</
    REGEX:DATE4    ">03/13</
    REGEX:DATE4    ">04/21</
    REGEX:DATE4    ">03/13</
    REGEX:DATE4    ">04/03</
    REGEX:DATE4    ">02/08</
    REGEX:DATE4    ">11/22</
    REGEX:DATE4    ">11/13</
    REGEX:DATE4    ">11/15</
    REGEX:DATE4    ">11/20</
    REGEX:DATE4    ">10/21</
    REGEX:DATE4    ">11/23</
    REGEX:DATE4    ">11/22</
    REGEX:DATE4    ">06/29</
    REGEX:DATE4    ">10/19</
    REGEX:DATE4    ">08/15</
    REGEX:DATE4    ">08/10</
    REGEX:DATE4    ">08/12</
    REGEX:DATE4    ">11/26</
    REGEX:DATE4    ">11/26</
    REGEX:DATE4    ">11/26</
    REGEX:DATE4    ">11/30</
    REGEX:DATE4    ">08/12</
    REGEX:DATE4    ">11/14</
    REGEX:DATE4    ">03/17</
    REGEX:DATE4    ">03/17</
    REGEX:DATE4    ">03/17</
    REGEX:DATE4    ">11/17</
    REGEX:DATE4    ">12/22</
    REGEX:DATE4    ">12/21</
    REGEX:DATE4    ">06/22</
    REGEX:DATE4    ">07/24</
    REGEX:DATE4    ">10/18</
    REGEX:DATE4    ">11/16</
    REGEX:DATE4    ">11/17</
    REGEX:DATE4    ">12/13</
    REGEX:DATE4    ">11/22</
    REGEX:DATE4    ">12/15</
    REGEX:DATE4    ">12/01</
    REGEX:DATE4    ">12/09</
    REGEX:DATE4    ">12/21</
    REGEX:DATE4    ">12/24</
    REGEX:DATE4    ">08/24</
    REGEX:DATE4    ">08/24</
    REGEX:DATE4    ">05/26</
    REGEX:DATE4    ">05/17</
    REGEX:DATE4    ">06/04</
    REGEX:DATE4    ">06/04</
    REGEX:DATE4    ">06/10</
    REGEX:DATE4    ">06/10</
    REGEX:DATE4    ">02/10</
    REGEX:DATE4    ">02/10</
    REGEX:DATE4    ">03/11</
    REGEX:DATE4    ">03/25</
    REGEX:DATE4    ">05/01</
    REGEX:DATE4    ">10/28</
    REGEX:DATE4    ">05/12</
    REGEX:DATE4    ">07/31</
    REGEX:DATE4    ">01/02</
    REGEX:DATE4    ">01/03</
    REGEX:DATE4    ">01/02</
    REGEX:DATE4    ">01/07</
    REGEX:DATE4    ">01/07</
    REGEX:DATE4    ">10/23</
    REGEX:DATE4    ">10/10</
    REGEX:DATE4    ">10/10</
    REGEX:DATE4    ">10/17</
    REGEX:DATE4    ">10/19</
    REGEX:DATE4    ">10/20</
    REGEX:DATE4    ">10/15</
    REGEX:DATE4    ">10/23</
    REGEX:DATE4    ">10/18</
    REGEX:DATE4    ">10/18</
    REGEX:DATE4    ">10/23</
    REGEX:DATE4    ">10/16</
    REGEX:DATE4    ">10/19</
    REGEX:DATE4    ">01/20</
    REGEX:DATE4    ">12/23</
    REGEX:DATE4    ">01/24</
    REGEX:DATE4    ">03/30</
    REGEX:DATE4    ">05/11</
    REGEX:DATE4    ">05/15</
    REGEX:DATE4    ">01/07</
    REGEX:DATE4    ">01/07</
    REGEX:DATE4    ">01/27</
    REGEX:DATE4    ">03/02</
    REGEX:DATE4    ">02/11</
    REGEX:DATE4    ">09/05</
    REGEX:DATE4    ">09/05</
    REGEX:DATE4    ">09/09</
    REGEX:DATE4    ">09/02</
    REGEX:DATE4    ">09/05</
    REGEX:DATE4    ">09/02</
    REGEX:DATE4    ">09/09</
    REGEX:DATE4    ">10/13</
    REGEX:DATE4    ">02/08</
    REGEX:DATE4    ">02/18</
    REGEX:DATE4    ">02/06</
    REGEX:DATE4    ">02/06</
    REGEX:DATE4    ">02/10</
    REGEX:DATE4    ">02/10</
    REGEX:DATE4    ">02/11</
    REGEX:DATE4    ">02/11</
    REGEX:DATE4    ">02/16</
    REGEX:DATE4    ">02/15</
    REGEX:DATE4    ">02/18</
    REGEX:DATE4    ">02/18</
    REGEX:DATE4    ">02/20</
    REGEX:DATE4    ">06/16</
    REGEX:DATE4    ">06/21</
    REGEX:DATE4    ">07/28</
    REGEX:DATE4    ">01/25</
    REGEX:DATE4    ">01/30</
    REGEX:DATE4    ">12/15</
    REGEX:DATE4    ">12/29</
    REGEX:DATE4    ">12/26</
    REGEX:DATE4    ">12/26</
    REGEX:DATE4    ">06/09</
    REGEX:DATE4    ">04/14</
    REGEX:DATE4    ">09/15</
    REGEX:DATE4    ">09/26</
    REGEX:DATE4    ">09/29</
    REGEX:DATE4    ">07/05</
    REGEX:DATE4    ">09/08</
    REGEX:DATE4    ">09/08</
    REGEX:DATE4    ">09/17</
    REGEX:DATE4    ">09/16</
    REGEX:DATE4    ">02/26</
    REGEX:DATE4    ">01/04</
    REGEX:DATE4    ">01/10</
    REGEX:DATE4    ">01/26</
    REGEX:DATE4    ">12/05</
    REGEX:DATE4    ">12/11</
    REGEX:DATE4    ">12/11</
    REGEX:DATE4    ">12/11</
    REGEX:DATE4    ">12/26</
    REGEX:DATE4    ">10/12</
    REGEX:DATE4    ">10/14</
    REGEX:DATE4    ">11/10</
    REGEX:DATE4    ">11/11</
    REGEX:DATE4    ">09/13</
    REGEX:DATE4    ">10/06</
    REGEX:DATE4    ">09/26</
    REGEX:DATE4    ">09/27</
    REGEX:DATE4    ">04/26</
    REGEX:DATE4    ">04/26</
    REGEX:DATE4    ">03/30</
    REGEX:DATE4    ">08/01</
    REGEX:DATE4    ">08/05</
    REGEX:DATE4    ">01/18</
    REGEX:DATE4    ">01/18</
    REGEX:DATE4    ">10/20</
    REGEX:DATE4    ">10/30</
    REGEX:DATE4    ">10/13</
    REGEX:DATE4    ">10/24</
    REGEX:DATE4    ">03/31</
    REGEX:DATE4    ">11/12</
    REGEX:DATE4    ">11/12</
    REGEX:DATE4    ">11/12</
    REGEX:DATE4    ">02/01</
    REGEX:DATE4    ">02/08</
    REGEX:DATE4    ">03/16</
    REGEX:DATE4    ">02/09</
    REGEX:DATE4    ">11/22</
    REGEX:DATE4    ">11/27</
    REGEX:DATE4    ">11/27</
    REGEX:DATE4    ">04/15</
    REGEX:DATE4    ">01/09</
    REGEX:DATE4    ">08/19</
    REGEX:DATE4    ">11/26</
    REGEX:DATE4    ">11/06</
    REGEX:DATE4    ">11/06</
    REGEX:DATE4    ">10/17</
    REGEX:DATE4    ">10/17</
    REGEX:DATE4    ">10/20</
    REGEX:DATE4    ">10/19</
    REGEX:DATE4    ">10/20</
    REGEX:DATE4    ">07/16</
    REGEX:DATE4    ">01/08</
    REGEX:DATE4    ">01/21</
    REGEX:DATE4    ">01/10</
    REGEX:DATE4    ">01/11</
    REGEX:DATE4    ">01/11</
    REGEX:DATE4    ">01/11</
    REGEX:DATE4    ">03/13</
    REGEX:DATE4    ">03/17</
    REGEX:DATE4    ">04/17</
    REGEX:DATE4    ">07/15</
    REGEX:DATE4    ">03/13</
    REGEX:DATE4    ">03/14</
    REGEX:DATE4    ">03/15</
    REGEX:DATE4    ">03/16</
    REGEX:DATE4    ">03/17</
    REGEX:DATE4    ">05/23</
    REGEX:DATE4    ">05/22</
    REGEX:DATE4    ">05/01</
    REGEX:DATE4    ">05/01</
    REGEX:DATE4    ">03/13</
    REGEX:DATE4    ">03/21</
    REGEX:DATE4    ">01/22</
    REGEX:DATE4    ">01/31</
    REGEX:DATE4    ">02/20</
    REGEX:DATE4    ">03/21</
    REGEX:DATE4    ">12/07</
    REGEX:DATE4    ">12/14</
    REGEX:DATE4    ">12/12</
    REGEX:DATE4    ">01/22</
    REGEX:DATE4    ">01/20</
    REGEX:DATE4    ">08/29</
    REGEX:DATE4    ">08/29</
    REGEX:DATE4    ">08/25</
    REGEX:DATE4    ">08/29</
    REGEX:DATE4    ">08/29</
    REGEX:DATE4    ">08/22</
    REGEX:DATE4    ">09/06</
    REGEX:DATE4    ">08/15</
    REGEX:DATE4    ">08/21</
    REGEX:DATE4    ">08/25</
    REGEX:DATE4    ">10/04</
    REGEX:DATE4    ">10/03</
    REGEX:DATE4    ">10/07</
    REGEX:DATE4    ">05/05</
    REGEX:DATE4    ">05/04</
    REGEX:DATE4    ">02/11</
    REGEX:DATE4    ">02/28</
    REGEX:DATE4    ">09/01</
    REGEX:DATE4    ">09/18</
    REGEX:DATE4    ">03/16</
    REGEX:DATE4    ">11/24</
    REGEX:DATE4    ">11/24</
    REGEX:DATE4    ">11/20</
    REGEX:DATE4    ">11/28</
    REGEX:DATE4    ">07/02</
    REGEX:DATE4    ">07/08</
    REGEX:DATE4    ">07/09</
    REGEX:DATE4    ">07/09</
    REGEX:DATE4    ">07/09</
    REGEX:DATE4    ">12/10</
    REGEX:DATE4    ">12/13</
    REGEX:DATE4    ">08/19</
    REGEX:DATE4    ">10/22</
    REGEX:DATE4    ">10/29</
    REGEX:DATE4    ">10/29</
    REGEX:DATE4    ">02/27</
    REGEX:DATE4    ">07/09</
    REGEX:DATE4    ">07/27</
    REGEX:DATE4    ">07/26</
    REGEX:DATE4    ">05/08</
    REGEX:DATE4    ">05/14</
    REGEX:DATE4    ">05/17</
    REGEX:DATE4    ">03/22</
    REGEX:DATE4    ">08/16</
    REGEX:DATE4    ">08/16</
    REGEX:DATE4    ">05/21</
    REGEX:DATE4    ">02/08</
    REGEX:DATE4    ">02/13</
    REGEX:DATE4    ">02/13</
    REGEX:DATE4    ">11/30</
    REGEX:DATE4    ">12/27</
    REGEX:DATE4    ">05/19</
    REGEX:DATE4    ">05/22</
    REGEX:DATE4    ">07/16</
    REGEX:DATE4    ">09/01</
    REGEX:DATE4    ">07/29</
    REGEX:DATE4    ">02/28</
    REGEX:DATE4    ">01/20</
    REGEX:DATE4    ">01/13</
    REGEX:DATE4    ">01/21</
    REGEX:DATE4    ">07/30</
    REGEX:DATE4    ">07/20</
    REGEX:DATE4    ">08/10</
    REGEX:DATE4    ">07/20</
    REGEX:DATE4    ">07/24</
    REGEX:DATE4    ">06/11</
    REGEX:DATE4    ">06/11</
    REGEX:DATE4    ">06/14</
    REGEX:DATE4    ">06/19</
    REGEX:DATE4    ">06/18</
    REGEX:DATE4    ">07/21</
    REGEX:DATE4    ">04/02</
    REGEX:DATE4    ">09/15</
    REGEX:DATE4    ">02/06</
    REGEX:DATE4    ">02/11</
    REGEX:DATE4    ">02/15</
    REGEX:DATE4    ">10/14</
    REGEX:DATE4    ">10/14</
    REGEX:DATE4    ">10/18</
    REGEX:DATE4    ">10/21</
    REGEX:DATE4    ">07/20</
    REGEX:DATE4    ">07/22</
    REGEX:DATE4    ">11/09</
    REGEX:DATE4    ">11/23</
    REGEX:DATE4    ">11/24</
    REGEX:DATE4    ">01/03</
    REGEX:DATE4    ">12/19</
    REGEX:DATE4    ">01/06</
    REGEX:DATE4    ">01/08</
    REGEX:DATE4    ">05/25</
    REGEX:DATE4    ">05/30</
    REGEX:DATE4    ">09/12</
    REGEX:DATE4    ">09/14</
    REGEX:DATE4    ">09/15</
    REGEX:DATE4    ">06/17</
    REGEX:DATE4    ">01/01</
    REGEX:DATE4    ">01/30</
    REGEX:DATE4    ">08/02</
    REGEX:DATE4    ">08/02</
    REGEX:DATE4    ">07/30</
    REGEX:DATE4    ">07/31</
    REGEX:DATE4    ">08/05</
    REGEX:DATE4    ">12/26</
    REGEX:DATE4    ">12/26</
    REGEX:DATE4    ">12/28</
    REGEX:DATE4    ">04/07</
    REGEX:DATE4    ">05/14</
    REGEX:DATE4    ">05/17</
    REGEX:DATE4    ">02/09</
    REGEX:DATE4    ">08/25</
    REGEX:DATE4    ">10/09</
    REGEX:DATE4    ">10/11</
    REGEX:DATE4    ">10/11</
    REGEX:DATE4    ">01/29</
    REGEX:DATE4    ">08/29</
    REGEX:DATE4    ">09/06</
    REGEX:DATE4    ">09/06</
    REGEX:DATE4    ">06/27</
    REGEX:DATE4    ">06/28</
    REGEX:DATE4    ">06/02</
    REGEX:DATE4    ">02/25</
    REGEX:DATE4    ">02/27</
    REGEX:DATE4    ">02/20</
    REGEX:DATE4    ">03/13</
    REGEX:DATE4    ">02/20</
    REGEX:DATE4    ">02/22</
    REGEX:DATE4    ">03/09</
    REGEX:DATE4    ">03/10</
    REGEX:DATE4    ">03/13</
    REGEX:DATE4    ">03/09</
    REGEX:DATE4    ">03/09</
    REGEX:DATE4    ">09/23</
    REGEX:DATE4    ">09/23</
    REGEX:DATE4    ">09/23</
    REGEX:DATE4    ">05/18</
    REGEX:DATE4    ">11/17</
    REGEX:DATE4    ">12/04</
    REGEX:DATE4    ">10/04</
    REGEX:DATE4    ">01/16</
    REGEX:DATE4    ">05/18</
    REGEX:DATE4    ">02/27</
    REGEX:DATE4    ">01/19</
    REGEX:DATE4    ">01/19</
    REGEX:DATE4    ">07/15</
    REGEX:DATE4    ">07/30</
    REGEX:DATE4    ">07/30</
    REGEX:DATE4    ">11/30</
    REGEX:DATE4    ">11/30</
    REGEX:DATE4    ">12/11</
    REGEX:DATE4    ">01/09</
    REGEX:DATE4    ">12/11</
    REGEX:DATE4    ">04/04</
    REGEX:DATE4    ">04/04</
    REGEX:DATE4    ">09/24</
    REGEX:DATE4    ">08/25</
    REGEX:DATE4    ">08/25</
    REGEX:DATE4    ">02/21</
    REGEX:DATE4    ">06/30</
    REGEX:DATE4    ">07/01</
    REGEX:DATE4    ">07/02</
    REGEX:DATE4    ">06/02</
    REGEX:DATE4    ">04/17</
    REGEX:DATE4    ">10/05</
    REGEX:DATE4    ">02/04</
    REGEX:DATE4    ">02/03</
    REGEX:DATE4    ">03/15</
    REGEX:DATE4    ">08/28</
    REGEX:DATE4    ">02/16</
    REGEX:DATE4    ">02/28</
    REGEX:DATE4    ">09/20</
    REGEX:DATE4    ">07/31</
    REGEX:DATE4    ">06/29</
    REGEX:DATE4    ">05/05</
    REGEX:DATE4    ">05/08</
    REGEX:DATE4    ">05/01</
    REGEX:DATE4    ">01/24</
    REGEX:DATE4    ">05/05</
    REGEX:DATE4    ">05/08</
    REGEX:DATE4    ">09/07</
    REGEX:DATE4    ">08/23</
    REGEX:DATE4    ">08/25</
    REGEX:DATE4    ">08/08</
    REGEX:DATE4    ">09/07</
    REGEX:DATE4    ">09/09</
    REGEX:DATE4    ">07/03</
    REGEX:DATE4    ">07/10</
    REGEX:DATE7    ">January 31</
    REGEX:DATE7    ">November 26</
    REGEX:DATE7    ">April 9</
    REGEX:DATE7    ">March 5</
    REGEX:DATE7    ">May 2</
    REGEX:DATE7    ">June 4</
    REGEX:DATE7    ">January 3</
    REGEX:DATE7    ">March 26</
    REGEX:DATE7    ">January 4</
    REGEX:DATE7    ">Jul 24</
    REGEX:DATE7    ">Jul 25</
    REGEX:DATE7    ">Jul 26</
    REGEX:DATE7    ">January 25</
    REGEX:DATE7    ">January 26</
    REGEX:DATE7    ">January 8</
    REGEX:DATE7    ">September 17</
    REGEX:DATE7    ">September 6</
    REGEX:DATE7    ">October 3</
    REGEX:DATE7    ">January 17</
    REGEX:DATE7    ">December 7</
    REGEX:DATE7    ">May 4</
    REGEX:DATE7    ">May 14</
    REGEX:DATE7    ">December 4</
    REGEX:DATE7    ">December 11</
    REGEX:DATE7    ">December 6</
    REGEX:DATE7    ">December 25</
    REGEX:DATE7    ">Mar 30</
    REGEX:DATE7    ">October 18</
    REGEX:DATE7    ">October 19</
    REGEX:DATE7    ">May 11</
    REGEX:DATE7    ">May 13</
    REGEX:DATE7    ">May 17</
    REGEX:DATE7    ">May 18</
    REGEX:DATE7    ">May 21</
    REGEX:DATE7    ">June 1</
    REGEX:DATE7    ">April 14</
    REGEX:DATE7    ">February 11</
    REGEX:DATE7    ">March 21</
    REGEX:DATE7    ">April 7</
    REGEX:DATE7    ">April 19</
    REGEX:DATE7    ">October 16</
    REGEX:DATE7    ">November 20</
    REGEX:DATE7    ">November 9</
    REGEX:DATE7    ">November 20</
    REGEX:DATE7    ">November 20</
    REGEX:DATE7    ">November 30</
    REGEX:DATE7    ">December 3</
    REGEX:DATE7    ">May 2</
    REGEX:DATE7    ">October 13</
    REGEX:DATE7    ">October 27</
    REGEX:DATE7    ">May 13</
    REGEX:DATE7    ">May 14</
    REGEX:DATE7    ">October 27</
    REGEX:DATE12    2-2.5
    REGEX:DATE12    13.4/37.
    REGEX:DATE12    1.2-1.
    REGEX:DATE12    1-1/2
    REGEX:DATE12    16/1.2
    REGEX:DATE12    25/1.9
    REGEX:DATE12    22/9.1
    REGEX:DATE12    26/1.4
    REGEX:DATE12    .3/1.3
    REGEX:DATE14    March 29
    REGEX:DATE14    March 24
    REGEX:DATE14    June 25
    REGEX:DATE14    November 27
    REGEX:DATE14    July 15
    REGEX:DATE14    July 15
    REGEX:DATE14    July 30
    REGEX:DATE15    March 29th
    REGEX:DATE15    March 24th
    REGEX:DATE15    June 25th
    REGEX:DATE15    November 27th
    REGEX:DATE15    July 15th
    REGEX:DATE15    July 15th
    REGEX:DATE15    July 30th
    REGEX:DATE16    ">16th of November
    REGEX:DATE16    ">6th of December
    REGEX:DATE16    ">7th of December
    REGEX:DATE16    ">14th of March
    REGEX:DATE16    ">14th of February
    REGEX:DATE16    ">17th of February
    REGEX:DATE16    ">26th of February
    REGEX:DATE16    ">27th of February
    REGEX:DATE17    ">075-71-01</
    REGEX:DATE17    ">243-56-35-
    REGEX:DATE17    ">096-50-15</
    REGEX:DATE17    ">650-29-95-
    REGEX:DATE17    ">582-96-88</
    REGEX:DATE17    ">961-90-81</
    REGEX:DATE17    ">042-35-66-
    REGEX:DATE17    ">033-62-04</
    REGEX:DATE17    ">370-15-25</
    REGEX:DATE17    56/23/39
    REGEX:DATE17    24/26/21
    REGEX:DATE17    ">665-07-74-
    REGEX:DATE17    ">274-60-45</
    REGEX:DATE17    ">948-14-32</
    REGEX:DATE17    ">825-78-07</
    REGEX:DATE17    ">363-79-23</
    REGEX:DATE17    ">171-46-12</
    REGEX:DATE17    ">390-36-80</
    REGEX:DATE17    ">882-95-20</
    REGEX:DATE17    ">690-02-35</
    REGEX:DATE17    ">452-05-72-
    REGEX:DATE17    ">149-05-30-
    REGEX:DATE17    ">966-63-89</
    REGEX:DATE17    ">589-25-50</
    REGEX:DATE17    ">125-10-86</
    REGEX:DATE17    ">870-46-38</
    REGEX:DATE17    ">404-91-65</
    REGEX:DATE17    ">499-91-11</
    REGEX:DATE21    ">3/25</
    REGEX:DATE21    ">9/27</
    REGEX:DATE21    ">3/31</
    REGEX:DATE21    ">7/17</
    REGEX:DATE21    ">7/20</
    REGEX:DATE21    ">9/28</
    REGEX:DATE21    ">9/22</
    REGEX:DATE21    ">3/17</
    REGEX:DATE21    ">9/12</
    REGEX:DATE21    ">3/26</
    REGEX:DATE21    ">4/10</
    REGEX:DATE21    ">2/11</
    REGEX:DATE21    ">2/14</
    REGEX:DATE21    ">3/25</
    REGEX:DATE21    ">3/25</
    REGEX:DATE21    ">7/21</
    REGEX:DATE21    ">7/13</
    REGEX:DATE21    ">8/15</
    REGEX:DATE21    ">1/19</
    REGEX:DATE21    ">3/11</
    REGEX:DATE21    ">3/29</
    REGEX:DATE21    ">7/22</
    REGEX:DATE21    ">7/19</
    REGEX:DATE21    ">8/13</
    REGEX:DATE21    ">6/10</
    REGEX:DATE21    ">6/10</
    REGEX:DATE21    ">2/10</
    REGEX:DATE21    ">3/22</
    REGEX:DATE21    ">5/12</
    REGEX:DATE21    ">1/19</
    REGEX:DATE21    ">1/17</
    REGEX:DATE21    ">2/23</
    REGEX:DATE21    ">2/21</
    REGEX:DATE21    ">7/10</
    REGEX:DATE21    ">1/25</
    REGEX:DATE21    ">9/21</
    REGEX:DATE21    ">5/30</
    REGEX:DATE21    ">5/23</
    REGEX:DATE21    ">9/15</
    REGEX:DATE21    ">1/10</
    REGEX:DATE21    ">5/24</
    REGEX:DATE21    ">9/21</
    REGEX:DATE21    ">9/21</
    REGEX:DATE21    ">4/15</
    REGEX:DATE21    ">8/21</
    REGEX:DATE21    ">4/17</
    REGEX:DATE21    ">4/17</
    REGEX:DATE21    ">4/28</
    REGEX:DATE21    ">4/16</
    REGEX:DATE21    ">4/17</
    REGEX:DATE21    ">4/28</
    REGEX:DATE21    ">4/28</
    REGEX:DATE21    ">5/14</
    REGEX:DATE21    ">5/11</
    REGEX:DATE21    ">5/18</
    REGEX:DATE21    ">3/13</
    REGEX:DATE21    ">1/21</
    REGEX:DATE21    ">9/26</
    REGEX:DATE21    ">6/22</
    REGEX:DATE21    ">6/25</
    REGEX:DATE21    ">6/26</
    REGEX:DATE21    ">8/10</
    REGEX:DATE21    ">4/11</
    REGEX:DATE21    ">5/17</
    REGEX:DATE21    ">6/20</
    REGEX:DATE21    ">7/18</
    REGEX:DATE21    ">3/10</
    REGEX:DATE21    ">5/21</
    REGEX:DATE21    ">5/23</
    REGEX:DATE21    ">8/29</
    REGEX:DATE21    ">4/27</
